commercial_area_code,commercial_area_name,business_type,day_of_week,quarter_count,total_transactions,weekday_transactions,weekday_days,weekday_daily_average,weekly_daily_average,day_index,day_weight
3001494,종로·청계 관광특구,JAPANESE_FOOD,TUESDAY,12,788556,138260,157,880.6369,719.5519,122.39,4
3001494,종로·청계 관광특구,JAPANESE_FOOD,WEDNESDAY,12,788556,141858,157,903.5541,719.5519,125.57,5
3001494,종로·청계 관광특구,JAPANESE_FOOD,THURSDAY,12,788556,143553,156,920.2115,719.5519,127.89,6
3001494,종로·청계 관광특구,JAPANESE_FOOD,FRIDAY,12,788556,142501,156,913.4679,719.5519,126.95,5
3001494,종로·청계 관광특구,JAPANESE_FOOD,SATURDAY,12,788556,62065,156,397.8526,719.5519,55.29,-6
3001494,종로·청계 관광특구,JAPANESE_FOOD,SUNDAY,12,788556,32634,157,207.8599,719.5519,28.89,-6
3001494,종로·청계 관광특구,WESTERN_FOOD,MONDAY,12,562753,77980,157,496.6879,513.5903,96.71,-1
3001494,종로·청계 관광특구,WESTERN_FOOD,TUESDAY,12,562753,85791,157,546.4395,513.5903,106.4,1
3001494,종로·청계 관광특구,WESTERN_FOOD,WEDNESDAY,12,562753,90739,157,577.9554,513.5903,112.53,3
3001494,종로·청계 관광특구,WESTERN_FOOD,THURSDAY,12,562753,91363,156,585.6603,513.5903,114.03,3
3001494,종로·청계 관광특구,WESTERN_FOOD,FRIDAY,12,562753,101951,156,653.5321,513.5903,127.25,5
3001494,종로·청계 관광특구,WESTERN_FOOD,SATURDAY,12,562753,69187,156,443.5064,513.5903,86.35,-3
